Country,Date_confirmation,New_infected,Total_infected
Australia,2022-05-20,2,2
Australia,2022-05-21,0,2
Australia,2022-05-22,0,2
Australia,2022-05-23,0,2
Australia,2022-05-24,0,2
Australia,2022-05-25,0,2
Australia,2022-05-26,0,2
Australia,2022-05-27,0,2
Australia,2022-05-28,0,2
Australia,2022-05-29,0,2
Australia,2022-05-30,0,2
Australia,2022-05-31,0,2
Australia,2022-06-01,0,2
Australia,2022-06-02,2,4
Australia,2022-06-03,1,5
Australia,2022-06-04,1,6
Australia,2022-06-05,0,6
Australia,2022-06-06,0,6
Australia,2022-06-07,0,6
Australia,2022-06-08,0,6
Australia,2022-06-09,2,8
Australia,2022-06-10,0,8
Australia,2022-06-11,0,8
Australia,2022-06-12,0,8
Australia,2022-06-13,0,8
Australia,2022-06-14,0,8
Australia,2022-06-15,2,10
Australia,2022-06-16,1,11
Australia,2022-06-17,0,11
Australia,2022-06-18,0,11
Australia,2022-06-19,0,11
Australia,2022-06-20,0,11
Australia,2022-06-21,0,11
Australia,2022-06-22,0,11
Australia,2022-06-23,0,11
Australia,2022-06-24,0,11
Australia,2022-06-25,0,11
Australia,2022-06-26,0,11
Australia,2022-06-27,0,11
Australia,2022-06-28,0,11
Australia,2022-06-29,0,11
Australia,2022-06-30,1,12
Australia,2022-07-01,0,12
