Country,Date_confirmation,New_infected,Total_infected
Austria,2022-05-23,1,1
Austria,2022-05-24,0,1
Austria,2022-05-25,0,1
Austria,2022-05-26,0,1
Austria,2022-05-27,0,1
Austria,2022-05-28,0,1
Austria,2022-05-29,0,1
Austria,2022-05-30,0,1
Austria,2022-05-31,0,1
Austria,2022-06-01,0,1
Austria,2022-06-02,0,1
Austria,2022-06-03,0,1
Austria,2022-06-04,0,1
Austria,2022-06-05,0,1
Austria,2022-06-06,0,1
Austria,2022-06-07,0,1
Austria,2022-06-08,0,1
Austria,2022-06-09,0,1
Austria,2022-06-10,0,1
Austria,2022-06-11,0,1
Austria,2022-06-12,0,1
Austria,2022-06-13,2,3
Austria,2022-06-14,0,3
Austria,2022-06-15,1,4
Austria,2022-06-16,0,4
Austria,2022-06-17,7,11
Austria,2022-06-18,0,11
Austria,2022-06-19,0,11
Austria,2022-06-20,0,11
Austria,2022-06-21,1,12
Austria,2022-06-22,0,12
Austria,2022-06-23,0,12
Austria,2022-06-24,8,20
Austria,2022-06-25,0,20
Austria,2022-06-26,0,20
Austria,2022-06-27,0,20
Austria,2022-06-28,0,20
Austria,2022-06-29,0,20
Austria,2022-06-30,0,20
Austria,2022-07-01,17,37
