Country,Date_confirmation,New_infected,Total_infected
Brazil,2022-06-08,1,1
Brazil,2022-06-09,0,1
Brazil,2022-06-10,0,1
Brazil,2022-06-11,1,2
Brazil,2022-06-12,1,3
Brazil,2022-06-13,0,3
Brazil,2022-06-14,2,5
Brazil,2022-06-15,0,5
Brazil,2022-06-16,1,6
Brazil,2022-06-17,1,7
Brazil,2022-06-18,0,7
Brazil,2022-06-19,1,8
Brazil,2022-06-20,0,8
Brazil,2022-06-21,1,9
Brazil,2022-06-22,2,11
Brazil,2022-06-23,5,16
Brazil,2022-06-24,1,17
Brazil,2022-06-25,2,19
Brazil,2022-06-26,1,20
Brazil,2022-06-27,0,20
Brazil,2022-06-28,1,21
Brazil,2022-06-29,16,37
Brazil,2022-06-30,0,37
Brazil,2022-07-01,0,37
Brazil,2022-07-02,0,37
