Country,Date_confirmation,New_infected,Total_infected
Czech Republic,2022-05-24,1,1
Czech Republic,2022-05-25,0,1
Czech Republic,2022-05-26,4,5
Czech Republic,2022-05-27,0,5
Czech Republic,2022-05-28,0,5
Czech Republic,2022-05-29,0,5
Czech Republic,2022-05-30,0,5
Czech Republic,2022-05-31,0,5
Czech Republic,2022-06-01,0,5
Czech Republic,2022-06-02,1,6
Czech Republic,2022-06-03,0,6
Czech Republic,2022-06-04,0,6
Czech Republic,2022-06-05,0,6
Czech Republic,2022-06-06,0,6
Czech Republic,2022-06-07,0,6
Czech Republic,2022-06-08,0,6
Czech Republic,2022-06-09,0,6
Czech Republic,2022-06-10,0,6
Czech Republic,2022-06-11,0,6
Czech Republic,2022-06-12,0,6
Czech Republic,2022-06-13,0,6
Czech Republic,2022-06-14,0,6
Czech Republic,2022-06-15,0,6
Czech Republic,2022-06-16,0,6
Czech Republic,2022-06-17,0,6
Czech Republic,2022-06-18,0,6
Czech Republic,2022-06-19,0,6
Czech Republic,2022-06-20,0,6
Czech Republic,2022-06-21,0,6
Czech Republic,2022-06-22,1,7
Czech Republic,2022-06-23,0,7
Czech Republic,2022-06-24,0,7
Czech Republic,2022-06-25,0,7
Czech Republic,2022-06-26,0,7
Czech Republic,2022-06-27,0,7
Czech Republic,2022-06-28,1,8
Czech Republic,2022-06-29,0,8
Czech Republic,2022-06-30,0,8
Czech Republic,2022-07-01,0,8
