Country,Date_confirmation,New_infected,Total_infected
Denmark,2022-05-23,1,1
Denmark,2022-05-24,1,2
Denmark,2022-05-25,0,2
Denmark,2022-05-26,0,2
Denmark,2022-05-27,0,2
Denmark,2022-05-28,0,2
Denmark,2022-05-29,0,2
Denmark,2022-05-30,0,2
Denmark,2022-05-31,0,2
Denmark,2022-06-01,0,2
Denmark,2022-06-02,0,2
Denmark,2022-06-03,0,2
Denmark,2022-06-04,0,2
Denmark,2022-06-05,0,2
Denmark,2022-06-06,0,2
Denmark,2022-06-07,0,2
Denmark,2022-06-08,0,2
Denmark,2022-06-09,0,2
Denmark,2022-06-10,2,4
Denmark,2022-06-11,0,4
Denmark,2022-06-12,0,4
Denmark,2022-06-13,0,4
Denmark,2022-06-14,0,4
Denmark,2022-06-15,0,4
Denmark,2022-06-16,4,8
