Country,Date,New_infected,Total_infected
England,2022-05-06,1,1
England,2022-05-07,0,1
England,2022-05-08,0,1
England,2022-05-09,0,1
England,2022-05-10,0,1
England,2022-05-11,0,1
England,2022-05-12,1,2
England,2022-05-13,1,3
England,2022-05-14,0,3
England,2022-05-15,4,7
England,2022-05-16,0,7
England,2022-05-17,0,7
England,2022-05-18,2,9
England,2022-05-19,0,9
England,2022-05-20,11,20
England,2022-05-21,0,20
England,2022-05-22,0,20
England,2022-05-23,36,56
England,2022-05-24,14,70
England,2022-05-25,7,77
England,2022-05-26,24,101
England,2022-05-27,0,101
England,2022-05-28,0,101
England,2022-05-29,0,101
England,2022-05-30,71,172
England,2022-05-31,11,183
England,2022-06-01,5,188
