Country,Date_confirmation,New_infected,Total_infected
France,2022-05-19,1,1
France,2022-05-20,0,1
France,2022-05-21,0,1
France,2022-05-22,0,1
France,2022-05-23,2,3
France,2022-05-24,2,5
France,2022-05-25,2,7
France,2022-05-26,0,7
France,2022-05-27,0,7
France,2022-05-28,9,16
France,2022-05-29,0,16
France,2022-05-30,1,17
France,2022-05-31,0,17
France,2022-06-01,16,33
France,2022-06-02,0,33
France,2022-06-03,18,51
France,2022-06-04,1,52
France,2022-06-05,0,52
France,2022-06-06,0,52
France,2022-06-07,14,66
France,2022-06-08,0,66
France,2022-06-09,25,91
France,2022-06-10,0,91
France,2022-06-11,0,91
France,2022-06-12,0,91
France,2022-06-13,0,91
France,2022-06-14,34,125
France,2022-06-15,0,125
France,2022-06-16,58,183
France,2022-06-17,0,183
France,2022-06-18,0,183
France,2022-06-19,0,183
France,2022-06-20,0,183
France,2022-06-21,94,277
France,2022-06-22,0,277
France,2022-06-23,53,330
France,2022-06-24,0,330
France,2022-06-25,1,331
France,2022-06-26,0,331
France,2022-06-27,0,331
France,2022-06-28,109,440
France,2022-06-29,0,440
France,2022-06-30,58,498
France,2022-07-01,0,498
France,2022-07-02,0,498
