Country,Date_confirmation,New_infected,Total_infected
Ghana,2022-06-08,5,5
Ghana,2022-06-09,0,5
Ghana,2022-06-10,0,5
Ghana,2022-06-11,0,5
Ghana,2022-06-12,0,5
Ghana,2022-06-13,0,5
Ghana,2022-06-14,13,18
Ghana,2022-06-15,0,18
Ghana,2022-06-16,0,18
Ghana,2022-06-17,0,18
Ghana,2022-06-18,0,18
Ghana,2022-06-19,0,18
Ghana,2022-06-20,0,18
Ghana,2022-06-21,0,18
Ghana,2022-06-22,0,18
Ghana,2022-06-23,0,18
Ghana,2022-06-24,0,18
Ghana,2022-06-25,0,18
Ghana,2022-06-26,0,18
Ghana,2022-06-27,0,18
Ghana,2022-06-28,0,18
Ghana,2022-06-29,0,18
Ghana,2022-06-30,0,18
Ghana,2022-07-01,0,18
Ghana,2022-07-02,0,18
