Country,Date_confirmation,New_infected,Total_infected
Ireland,2022-05-27,1,1
Ireland,2022-05-28,0,1
Ireland,2022-05-29,0,1
Ireland,2022-05-30,1,2
Ireland,2022-05-31,0,2
Ireland,2022-06-01,2,4
Ireland,2022-06-02,2,6
Ireland,2022-06-03,0,6
Ireland,2022-06-04,0,6
Ireland,2022-06-05,0,6
Ireland,2022-06-06,0,6
Ireland,2022-06-07,1,7
Ireland,2022-06-08,0,7
Ireland,2022-06-09,0,7
Ireland,2022-06-10,2,9
Ireland,2022-06-11,0,9
Ireland,2022-06-12,0,9
Ireland,2022-06-13,0,9
Ireland,2022-06-14,0,9
Ireland,2022-06-15,5,14
Ireland,2022-06-16,0,14
Ireland,2022-06-17,0,14
Ireland,2022-06-18,0,14
Ireland,2022-06-19,0,14
Ireland,2022-06-20,0,14
Ireland,2022-06-21,0,14
Ireland,2022-06-22,0,14
Ireland,2022-06-23,14,28
Ireland,2022-06-24,0,28
Ireland,2022-06-25,0,28
Ireland,2022-06-26,0,28
Ireland,2022-06-27,0,28
Ireland,2022-06-28,0,28
Ireland,2022-06-29,0,28
Ireland,2022-06-30,11,39
Ireland,2022-07-01,0,39
