Country,Date_confirmation,New_infected,Total_infected
Israel,2022-05-21,1,1
Israel,2022-05-22,0,1
Israel,2022-05-23,0,1
Israel,2022-05-24,0,1
Israel,2022-05-25,0,1
Israel,2022-05-26,0,1
Israel,2022-05-27,0,1
Israel,2022-05-28,1,2
Israel,2022-05-29,0,2
Israel,2022-05-30,0,2
Israel,2022-05-31,0,2
Israel,2022-06-01,0,2
Israel,2022-06-02,0,2
Israel,2022-06-03,0,2
Israel,2022-06-04,0,2
Israel,2022-06-05,0,2
Israel,2022-06-06,0,2
Israel,2022-06-07,1,3
Israel,2022-06-08,0,3
Israel,2022-06-09,1,4
Israel,2022-06-10,0,4
Israel,2022-06-11,0,4
Israel,2022-06-12,0,4
Israel,2022-06-13,0,4
Israel,2022-06-14,0,4
Israel,2022-06-15,1,5
Israel,2022-06-16,0,5
Israel,2022-06-17,0,5
Israel,2022-06-18,0,5
Israel,2022-06-19,0,5
Israel,2022-06-20,0,5
Israel,2022-06-21,6,11
Israel,2022-06-22,2,13
Israel,2022-06-23,0,13
Israel,2022-06-24,3,16
Israel,2022-06-25,0,16
Israel,2022-06-26,0,16
Israel,2022-06-27,13,29
Israel,2022-06-28,4,33
Israel,2022-06-29,5,38
Israel,2022-06-30,4,42
Israel,2022-07-01,0,42
Israel,2022-07-02,0,42
