Country,Date_confirmation,New_infected,Total_infected
Italy,2022-05-19,1,1
Italy,2022-05-20,2,3
Italy,2022-05-21,0,3
Italy,2022-05-22,0,3
Italy,2022-05-23,1,4
Italy,2022-05-24,1,5
Italy,2022-05-25,4,9
Italy,2022-05-26,3,12
Italy,2022-05-27,0,12
Italy,2022-05-28,0,12
Italy,2022-05-29,1,13
Italy,2022-05-30,0,13
Italy,2022-05-31,6,19
Italy,2022-06-01,2,21
Italy,2022-06-02,0,21
Italy,2022-06-03,1,22
Italy,2022-06-04,0,22
Italy,2022-06-05,0,22
Italy,2022-06-06,6,28
Italy,2022-06-07,1,29
Italy,2022-06-08,2,31
Italy,2022-06-09,0,31
Italy,2022-06-10,1,32
Italy,2022-06-11,5,37
Italy,2022-06-12,0,37
Italy,2022-06-13,0,37
Italy,2022-06-14,1,38
Italy,2022-06-15,10,48
Italy,2022-06-16,0,48
Italy,2022-06-17,23,71
Italy,2022-06-18,0,71
Italy,2022-06-19,0,71
Italy,2022-06-20,0,71
Italy,2022-06-21,14,85
Italy,2022-06-22,0,85
Italy,2022-06-23,0,85
Italy,2022-06-24,42,127
Italy,2022-06-25,0,127
Italy,2022-06-26,0,127
Italy,2022-06-27,0,127
Italy,2022-06-28,32,159
Italy,2022-06-29,0,159
Italy,2022-06-30,0,159
Italy,2022-07-01,0,159
