Country,Date_confirmation,New_infected,Total_infected
Malta,2022-05-28,1,1
Malta,2022-05-29,0,1
Malta,2022-05-30,0,1
Malta,2022-05-31,0,1
Malta,2022-06-01,0,1
Malta,2022-06-02,0,1
Malta,2022-06-03,0,1
Malta,2022-06-04,0,1
Malta,2022-06-05,0,1
Malta,2022-06-06,0,1
Malta,2022-06-07,0,1
Malta,2022-06-08,0,1
Malta,2022-06-09,0,1
Malta,2022-06-10,0,1
Malta,2022-06-11,0,1
Malta,2022-06-12,0,1
Malta,2022-06-13,0,1
Malta,2022-06-14,0,1
Malta,2022-06-15,1,2
Malta,2022-06-16,0,2
Malta,2022-06-17,0,2
Malta,2022-06-18,0,2
Malta,2022-06-19,0,2
Malta,2022-06-20,0,2
Malta,2022-06-21,0,2
Malta,2022-06-22,0,2
Malta,2022-06-23,2,4
Malta,2022-06-24,0,4
Malta,2022-06-25,0,4
Malta,2022-06-26,0,4
Malta,2022-06-27,0,4
Malta,2022-06-28,0,4
Malta,2022-06-29,0,4
Malta,2022-06-30,0,4
Malta,2022-07-01,0,4
Malta,2022-07-02,0,4
