Country,Date_confirmation,New_infected,Total_infected
Mexico,2022-05-28,1,1
Mexico,2022-05-29,0,1
Mexico,2022-05-30,0,1
Mexico,2022-05-31,0,1
Mexico,2022-06-01,0,1
Mexico,2022-06-02,0,1
Mexico,2022-06-03,0,1
Mexico,2022-06-04,0,1
Mexico,2022-06-05,0,1
Mexico,2022-06-06,0,1
Mexico,2022-06-07,0,1
Mexico,2022-06-08,0,1
Mexico,2022-06-09,0,1
Mexico,2022-06-10,0,1
Mexico,2022-06-11,1,2
Mexico,2022-06-12,0,2
Mexico,2022-06-13,0,2
Mexico,2022-06-14,0,2
Mexico,2022-06-15,0,2
Mexico,2022-06-16,2,4
Mexico,2022-06-17,5,9
Mexico,2022-06-18,0,9
Mexico,2022-06-19,0,9
Mexico,2022-06-20,0,9
Mexico,2022-06-21,0,9
Mexico,2022-06-22,0,9
Mexico,2022-06-23,0,9
Mexico,2022-06-24,0,9
Mexico,2022-06-25,0,9
Mexico,2022-06-26,0,9
Mexico,2022-06-27,0,9
Mexico,2022-06-28,2,11
Mexico,2022-06-29,0,11
Mexico,2022-06-30,0,11
Mexico,2022-07-01,0,11
Mexico,2022-07-02,0,11
