Country,Date_confirmation,New_infected,Total_infected
Netherlands,2022-05-20,1,1
Netherlands,2022-05-21,1,2
Netherlands,2022-05-22,0,2
Netherlands,2022-05-23,4,6
Netherlands,2022-05-24,0,6
Netherlands,2022-05-25,6,12
Netherlands,2022-05-26,0,12
Netherlands,2022-05-27,0,12
Netherlands,2022-05-28,0,12
Netherlands,2022-05-29,0,12
Netherlands,2022-05-30,14,26
Netherlands,2022-05-31,0,26
Netherlands,2022-06-01,0,26
Netherlands,2022-06-02,14,40
Netherlands,2022-06-03,0,40
Netherlands,2022-06-04,0,40
Netherlands,2022-06-05,0,40
Netherlands,2022-06-06,0,40
