Country,Date_confirmation,New_infected,Total_infected
Slovenia,2022-05-24,1,1
Slovenia,2022-05-25,1,2
Slovenia,2022-05-26,0,2
Slovenia,2022-05-27,0,2
Slovenia,2022-05-28,0,2
Slovenia,2022-05-29,0,2
Slovenia,2022-05-30,0,2
Slovenia,2022-05-31,0,2
Slovenia,2022-06-01,0,2
Slovenia,2022-06-02,1,3
Slovenia,2022-06-03,0,3
Slovenia,2022-06-04,0,3
Slovenia,2022-06-05,0,3
Slovenia,2022-06-06,3,6
Slovenia,2022-06-07,0,6
Slovenia,2022-06-08,0,6
Slovenia,2022-06-09,0,6
Slovenia,2022-06-10,0,6
Slovenia,2022-06-11,0,6
Slovenia,2022-06-12,0,6
Slovenia,2022-06-13,1,7
Slovenia,2022-06-14,0,7
Slovenia,2022-06-15,0,7
Slovenia,2022-06-16,0,7
Slovenia,2022-06-17,0,7
Slovenia,2022-06-18,0,7
Slovenia,2022-06-19,0,7
Slovenia,2022-06-20,0,7
Slovenia,2022-06-21,1,8
Slovenia,2022-06-22,0,8
Slovenia,2022-06-23,1,9
Slovenia,2022-06-24,0,9
Slovenia,2022-06-25,0,9
Slovenia,2022-06-26,0,9
Slovenia,2022-06-27,0,9
Slovenia,2022-06-28,0,9
Slovenia,2022-06-29,0,9
Slovenia,2022-06-30,0,9
Slovenia,2022-07-01,0,9
