Country,Date_confirmation,New_infected,Total_infected
Spain,2022-05-18,7,7
Spain,2022-05-19,0,7
Spain,2022-05-20,23,30
Spain,2022-05-21,10,40
Spain,2022-05-22,0,40
Spain,2022-05-23,1,41
Spain,2022-05-24,4,45
Spain,2022-05-25,8,53
Spain,2022-05-26,25,78
Spain,2022-05-27,21,99
Spain,2022-05-28,0,99
Spain,2022-05-29,9,108
Spain,2022-05-30,8,116
Spain,2022-05-31,20,136
Spain,2022-06-01,0,136
Spain,2022-06-02,26,162
Spain,2022-06-03,19,181
Spain,2022-06-04,0,181
Spain,2022-06-05,0,181
Spain,2022-06-06,17,198
Spain,2022-06-07,27,225
Spain,2022-06-08,34,259
Spain,2022-06-09,0,259
Spain,2022-06-10,16,275
Spain,2022-06-11,0,275
Spain,2022-06-12,0,275
Spain,2022-06-13,0,275
Spain,2022-06-14,38,313
Spain,2022-06-15,0,313
Spain,2022-06-16,184,497
Spain,2022-06-17,1,498
Spain,2022-06-18,0,498
Spain,2022-06-19,0,498
Spain,2022-06-20,23,521
Spain,2022-06-21,0,521
Spain,2022-06-22,0,521
Spain,2022-06-23,215,736
Spain,2022-06-24,0,736
Spain,2022-06-25,0,736
Spain,2022-06-26,0,736
Spain,2022-06-27,64,800
Spain,2022-06-28,0,800
Spain,2022-06-29,0,800
Spain,2022-06-30,0,800
Spain,2022-07-01,0,800
