Country,Date_confirmation,New_infected,Total_infected
Sweden,2022-05-19,1,1
Sweden,2022-05-20,0,1
Sweden,2022-05-21,0,1
Sweden,2022-05-22,0,1
Sweden,2022-05-23,0,1
Sweden,2022-05-24,0,1
Sweden,2022-05-25,1,2
Sweden,2022-05-26,0,2
Sweden,2022-05-27,0,2
Sweden,2022-05-28,0,2
Sweden,2022-05-29,0,2
Sweden,2022-05-30,1,3
Sweden,2022-05-31,1,4
Sweden,2022-06-01,0,4
Sweden,2022-06-02,1,5
Sweden,2022-06-03,0,5
Sweden,2022-06-04,0,5
Sweden,2022-06-05,0,5
Sweden,2022-06-06,0,5
Sweden,2022-06-07,0,5
Sweden,2022-06-08,0,5
Sweden,2022-06-09,0,5
Sweden,2022-06-10,1,6
Sweden,2022-06-11,0,6
Sweden,2022-06-12,0,6
Sweden,2022-06-13,0,6
Sweden,2022-06-14,0,6
Sweden,2022-06-15,4,10
Sweden,2022-06-16,0,10
Sweden,2022-06-17,0,10
Sweden,2022-06-18,0,10
Sweden,2022-06-19,0,10
Sweden,2022-06-20,0,10
Sweden,2022-06-21,0,10
Sweden,2022-06-22,0,10
Sweden,2022-06-23,3,13
Sweden,2022-06-24,0,13
Sweden,2022-06-25,0,13
Sweden,2022-06-26,0,13
Sweden,2022-06-27,0,13
Sweden,2022-06-28,0,13
Sweden,2022-06-29,0,13
Sweden,2022-06-30,15,28
Sweden,2022-07-01,0,28
Sweden,2022-07-02,0,28
