Country,Date_confirmation,New_infected,Total_infected
Switzerland,2022-05-21,1,1
Switzerland,2022-05-22,0,1
Switzerland,2022-05-23,0,1
Switzerland,2022-05-24,1,2
Switzerland,2022-05-25,0,2
Switzerland,2022-05-26,1,3
Switzerland,2022-05-27,1,4
Switzerland,2022-05-28,0,4
Switzerland,2022-05-29,0,4
Switzerland,2022-05-30,0,4
Switzerland,2022-05-31,0,4
Switzerland,2022-06-01,0,4
Switzerland,2022-06-02,2,6
Switzerland,2022-06-03,2,8
Switzerland,2022-06-04,0,8
Switzerland,2022-06-05,0,8
Switzerland,2022-06-06,0,8
Switzerland,2022-06-07,0,8
Switzerland,2022-06-08,0,8
