Country,Date_confirmation,New_infected,Total_infected
United Arab Emirates,2022-05-24,1,1
United Arab Emirates,2022-05-25,0,1
United Arab Emirates,2022-05-26,0,1
United Arab Emirates,2022-05-27,0,1
United Arab Emirates,2022-05-28,0,1
United Arab Emirates,2022-05-29,3,4
United Arab Emirates,2022-05-30,0,4
United Arab Emirates,2022-05-31,0,4
United Arab Emirates,2022-06-01,4,8
United Arab Emirates,2022-06-02,0,8
United Arab Emirates,2022-06-03,0,8
United Arab Emirates,2022-06-04,0,8
United Arab Emirates,2022-06-05,0,8
United Arab Emirates,2022-06-06,0,8
United Arab Emirates,2022-06-07,5,13
United Arab Emirates,2022-06-08,0,13
United Arab Emirates,2022-06-09,0,13
United Arab Emirates,2022-06-10,0,13
United Arab Emirates,2022-06-11,0,13
