Country,Date_confirmation,New_infected,Total_infected
United Kingdom,2022-05-06,1,1
United Kingdom,2022-05-07,0,1
United Kingdom,2022-05-08,0,1
United Kingdom,2022-05-09,0,1
United Kingdom,2022-05-10,0,1
United Kingdom,2022-05-11,0,1
United Kingdom,2022-05-12,1,2
United Kingdom,2022-05-13,1,3
United Kingdom,2022-05-14,0,3
United Kingdom,2022-05-15,4,7
United Kingdom,2022-05-16,0,7
United Kingdom,2022-05-17,0,7
United Kingdom,2022-05-18,2,9
United Kingdom,2022-05-19,0,9
United Kingdom,2022-05-20,11,20
United Kingdom,2022-05-21,0,20
United Kingdom,2022-05-22,0,20
United Kingdom,2022-05-23,37,57
United Kingdom,2022-05-24,14,71
United Kingdom,2022-05-25,7,78
United Kingdom,2022-05-26,28,106
United Kingdom,2022-05-27,0,106
United Kingdom,2022-05-28,0,106
United Kingdom,2022-05-29,0,106
United Kingdom,2022-05-30,73,179
United Kingdom,2022-05-31,11,190
United Kingdom,2022-06-01,6,196
United Kingdom,2022-06-02,11,207
United Kingdom,2022-06-03,19,226
United Kingdom,2022-06-04,0,226
United Kingdom,2022-06-05,0,226
United Kingdom,2022-06-06,76,302
United Kingdom,2022-06-07,19,321
United Kingdom,2022-06-08,0,321
United Kingdom,2022-06-09,45,366
United Kingdom,2022-06-10,0,366
United Kingdom,2022-06-11,0,366
United Kingdom,2022-06-12,104,470
United Kingdom,2022-06-13,0,470
United Kingdom,2022-06-14,54,524
United Kingdom,2022-06-15,0,524
United Kingdom,2022-06-16,50,574
United Kingdom,2022-06-17,0,574
United Kingdom,2022-06-18,0,574
United Kingdom,2022-06-19,0,574
United Kingdom,2022-06-20,219,793
United Kingdom,2022-06-21,0,793
United Kingdom,2022-06-22,0,793
United Kingdom,2022-06-23,0,793
United Kingdom,2022-06-24,117,910
United Kingdom,2022-06-25,0,910
United Kingdom,2022-06-26,166,1076
United Kingdom,2022-06-27,0,1076
United Kingdom,2022-06-28,0,1076
United Kingdom,2022-06-29,0,1076
United Kingdom,2022-06-30,159,1235
United Kingdom,2022-07-01,0,1235
