Country,Date_confirmation,New_infected,Total_infected
World,2022-05-06,1,1
World,2022-05-07,0,1
World,2022-05-08,0,1
World,2022-05-09,0,1
World,2022-05-10,0,1
World,2022-05-11,0,1
World,2022-05-12,1,2
World,2022-05-13,1,3
World,2022-05-14,0,3
World,2022-05-15,4,7
World,2022-05-16,0,7
World,2022-05-17,3,10
World,2022-05-18,21,31
World,2022-05-19,16,47
World,2022-05-20,46,93
World,2022-05-21,16,109
World,2022-05-22,0,109
World,2022-05-23,73,182
World,2022-05-24,34,216
World,2022-05-25,44,260
World,2022-05-26,88,348
World,2022-05-27,51,399
World,2022-05-28,16,415
World,2022-05-29,15,430
World,2022-05-30,123,553
World,2022-05-31,66,619
World,2022-06-01,83,702
World,2022-06-02,125,827
World,2022-06-03,94,921
World,2022-06-04,7,928
World,2022-06-05,0,928
World,2022-06-06,112,1040
World,2022-06-07,144,1184
World,2022-06-08,42,1226
World,2022-06-09,0,1226
