Country,Date_confirmation,New_infected,Total_infected
World,2022-05-06,1,1
World,2022-05-07,0,1
World,2022-05-08,0,1
World,2022-05-09,0,1
World,2022-05-10,0,1
World,2022-05-11,0,1
World,2022-05-12,1,2
World,2022-05-13,1,3
World,2022-05-14,0,3
World,2022-05-15,4,7
World,2022-05-16,0,7
World,2022-05-17,3,10
World,2022-05-18,21,31
World,2022-05-19,16,47
World,2022-05-20,46,93
World,2022-05-21,16,109
World,2022-05-22,0,109
World,2022-05-23,73,182
World,2022-05-24,34,216
World,2022-05-25,44,260
World,2022-05-26,88,348
World,2022-05-27,51,399
World,2022-05-28,16,415
World,2022-05-29,15,430
World,2022-05-30,123,553
World,2022-05-31,66,619
World,2022-06-01,83,702
World,2022-06-02,125,827
World,2022-06-03,92,919
World,2022-06-04,7,926
World,2022-06-05,0,926
World,2022-06-06,112,1038
World,2022-06-07,29,1067
Argentina,2022-05-27,2,2
Argentina,2022-05-28,0,2
Argentina,2022-05-29,0,2
Argentina,2022-05-30,0,2
Argentina,2022-05-31,0,2
Argentina,2022-06-01,0,2
Argentina,2022-06-02,0,2
Argentina,2022-06-03,0,2
Argentina,2022-06-04,0,2
Argentina,2022-06-05,0,2
Argentina,2022-06-06,0,2
Argentina,2022-06-07,0,2
Australia,2022-05-20,2,2
Australia,2022-05-21,0,2
Australia,2022-05-22,0,2
Australia,2022-05-23,0,2
Australia,2022-05-24,0,2
Australia,2022-05-25,0,2
Australia,2022-05-26,0,2
Australia,2022-05-27,0,2
Australia,2022-05-28,0,2
Australia,2022-05-29,0,2
Australia,2022-05-30,0,2
Australia,2022-05-31,0,2
Australia,2022-06-01,0,2
Australia,2022-06-02,2,4
Australia,2022-06-03,1,5
Australia,2022-06-04,1,6
Australia,2022-06-05,0,6
Australia,2022-06-06,0,6
Australia,2022-06-07,0,6
Austria,2022-05-23,1,1
Austria,2022-05-24,0,1
Austria,2022-05-25,0,1
Austria,2022-05-26,0,1
Austria,2022-05-27,0,1
Austria,2022-05-28,0,1
Austria,2022-05-29,0,1
Austria,2022-05-30,0,1
Austria,2022-05-31,0,1
Austria,2022-06-01,0,1
Austria,2022-06-02,0,1
Austria,2022-06-03,0,1
Austria,2022-06-04,0,1
Austria,2022-06-05,0,1
Austria,2022-06-06,0,1
Austria,2022-06-07,0,1
Belgium,2022-05-19,1,1
Belgium,2022-05-20,2,3
Belgium,2022-05-21,1,4
Belgium,2022-05-22,0,4
Belgium,2022-05-23,0,4
Belgium,2022-05-24,0,4
Belgium,2022-05-25,2,6
Belgium,2022-05-26,0,6
Belgium,2022-05-27,0,6
Belgium,2022-05-28,3,9
Belgium,2022-05-29,0,9
Belgium,2022-05-30,0,9
Belgium,2022-05-31,0,9
Belgium,2022-06-01,5,14
Belgium,2022-06-02,0,14
Belgium,2022-06-03,3,17
Belgium,2022-06-04,0,17
Belgium,2022-06-05,0,17
Belgium,2022-06-06,0,17
Belgium,2022-06-07,0,17
Canada,2022-05-19,2,2
Canada,2022-05-20,3,5
Canada,2022-05-21,0,5
Canada,2022-05-22,0,5
Canada,2022-05-23,10,15
Canada,2022-05-24,0,15
Canada,2022-05-25,0,15
Canada,2022-05-26,11,26
Canada,2022-05-27,0,26
Canada,2022-05-28,0,26
Canada,2022-05-29,0,26
Canada,2022-05-30,0,26
Canada,2022-05-31,1,27
Canada,2022-06-01,27,54
Canada,2022-06-02,23,77
Canada,2022-06-03,3,80
Canada,2022-06-04,0,80
Canada,2022-06-05,0,80
Canada,2022-06-06,1,81
Canada,2022-06-07,0,81
Czech Republic,2022-05-24,1,1
Czech Republic,2022-05-25,0,1
Czech Republic,2022-05-26,4,5
Czech Republic,2022-05-27,0,5
Czech Republic,2022-05-28,0,5
Czech Republic,2022-05-29,0,5
Czech Republic,2022-05-30,0,5
Czech Republic,2022-05-31,0,5
Czech Republic,2022-06-01,0,5
Czech Republic,2022-06-02,1,6
Czech Republic,2022-06-03,0,6
Czech Republic,2022-06-04,0,6
Czech Republic,2022-06-05,0,6
Czech Republic,2022-06-06,0,6
Czech Republic,2022-06-07,0,6
Denmark,2022-05-23,1,1
Denmark,2022-05-24,1,2
Denmark,2022-05-25,0,2
Denmark,2022-05-26,0,2
Denmark,2022-05-27,0,2
Denmark,2022-05-28,0,2
Denmark,2022-05-29,0,2
Denmark,2022-05-30,0,2
Denmark,2022-05-31,0,2
Denmark,2022-06-01,0,2
Denmark,2022-06-02,0,2
Denmark,2022-06-03,0,2
Denmark,2022-06-04,0,2
Denmark,2022-06-05,0,2
Denmark,2022-06-06,0,2
Denmark,2022-06-07,0,2
Finland,2022-05-27,1,1
Finland,2022-05-28,0,1
Finland,2022-05-29,0,1
Finland,2022-05-30,0,1
Finland,2022-05-31,0,1
Finland,2022-06-01,0,1
Finland,2022-06-02,1,2
Finland,2022-06-03,0,2
Finland,2022-06-04,0,2
Finland,2022-06-05,0,2
Finland,2022-06-06,0,2
Finland,2022-06-07,0,2
France,2022-05-19,1,1
France,2022-05-20,0,1
France,2022-05-21,0,1
France,2022-05-22,0,1
France,2022-05-23,2,3
France,2022-05-24,2,5
France,2022-05-25,2,7
France,2022-05-26,0,7
France,2022-05-27,0,7
France,2022-05-28,9,16
France,2022-05-29,0,16
France,2022-05-30,1,17
France,2022-05-31,0,17
France,2022-06-01,16,33
France,2022-06-02,0,33
France,2022-06-03,18,51
France,2022-06-04,1,52
France,2022-06-05,0,52
France,2022-06-06,0,52
France,2022-06-07,0,52
Germany,2022-05-19,1,1
Germany,2022-05-20,1,2
Germany,2022-05-21,2,4
Germany,2022-05-22,0,4
Germany,2022-05-23,2,6
Germany,2022-05-24,6,12
Germany,2022-05-25,1,13
Germany,2022-05-26,2,15
Germany,2022-05-27,6,21
Germany,2022-05-28,1,22
Germany,2022-05-29,0,22
Germany,2022-05-30,3,25
Germany,2022-05-31,16,41
Germany,2022-06-01,0,41
Germany,2022-06-02,17,58
Germany,2022-06-03,17,75
Germany,2022-06-04,5,80
Germany,2022-06-05,0,80
Germany,2022-06-06,0,80
Germany,2022-06-07,0,80
Hungary,2022-05-31,1,1
Hungary,2022-06-01,0,1
Hungary,2022-06-02,0,1
Hungary,2022-06-03,0,1
Hungary,2022-06-04,0,1
Hungary,2022-06-05,0,1
Hungary,2022-06-06,0,1
Hungary,2022-06-07,0,1
Ireland,2022-05-27,1,1
Ireland,2022-05-28,0,1
Ireland,2022-05-29,0,1
Ireland,2022-05-30,1,2
Ireland,2022-05-31,0,2
Ireland,2022-06-01,2,4
Ireland,2022-06-02,2,6
Ireland,2022-06-03,0,6
Ireland,2022-06-04,0,6
Ireland,2022-06-05,0,6
Ireland,2022-06-06,0,6
Ireland,2022-06-07,0,6
Israel,2022-05-21,1,1
Israel,2022-05-22,0,1
Israel,2022-05-23,0,1
Israel,2022-05-24,0,1
Israel,2022-05-25,0,1
Israel,2022-05-26,0,1
Israel,2022-05-27,0,1
Israel,2022-05-28,1,2
Israel,2022-05-29,0,2
Israel,2022-05-30,0,2
Israel,2022-05-31,0,2
Israel,2022-06-01,0,2
Israel,2022-06-02,0,2
Israel,2022-06-03,0,2
Israel,2022-06-04,0,2
Israel,2022-06-05,0,2
Israel,2022-06-06,0,2
Israel,2022-06-07,1,3
Italy,2022-05-19,1,1
Italy,2022-05-20,2,3
Italy,2022-05-21,0,3
Italy,2022-05-22,0,3
Italy,2022-05-23,1,4
Italy,2022-05-24,1,5
Italy,2022-05-25,4,9
Italy,2022-05-26,3,12
Italy,2022-05-27,0,12
Italy,2022-05-28,0,12
Italy,2022-05-29,1,13
Italy,2022-05-30,0,13
Italy,2022-05-31,6,19
Italy,2022-06-01,2,21
Italy,2022-06-02,0,21
Italy,2022-06-03,1,22
Italy,2022-06-04,0,22
Italy,2022-06-05,0,22
Italy,2022-06-06,4,26
Italy,2022-06-07,0,26
Latvia,2022-06-03,1,1
Latvia,2022-06-04,0,1
Latvia,2022-06-05,0,1
Latvia,2022-06-06,0,1
Latvia,2022-06-07,0,1
Malta,2022-05-28,1,1
Malta,2022-05-29,0,1
Malta,2022-05-30,0,1
Malta,2022-05-31,0,1
Malta,2022-06-01,0,1
Malta,2022-06-02,0,1
Malta,2022-06-03,0,1
Malta,2022-06-04,0,1
Malta,2022-06-05,0,1
Malta,2022-06-06,0,1
Malta,2022-06-07,0,1
Mexico,2022-05-28,1,1
Mexico,2022-05-29,0,1
Mexico,2022-05-30,0,1
Mexico,2022-05-31,0,1
Mexico,2022-06-01,0,1
Mexico,2022-06-02,0,1
Mexico,2022-06-03,0,1
Mexico,2022-06-04,0,1
Mexico,2022-06-05,0,1
Mexico,2022-06-06,0,1
Mexico,2022-06-07,0,1
Morocco,2022-06-02,1,1
